[Header]
BYAPP, Resistivity
INFO, hall_tdep_synth, SAMPLE
INFO, 2.0, Sample1 Cross Section
INFO, 2.0, Sample1 Length
INFO, 2.0, Sample2 Cross Section
INFO, 2.0, Sample2 Length
[Data]
Temperature (K),Magnetic Field (Oe),Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 2 Resistivity (Ohm-m)
65.0000,20000.0,1.3000000000e-04,1.6500000000e-03,1.6500000000e-06
66.0000,20000.0,1.3200000000e-04,1.6600000000e-03,1.6600000000e-06
67.0000,20000.0,1.3400000000e-04,1.6700000000e-03,1.6700000000e-06
68.0000,20000.0,1.3600000000e-04,1.6800000000e-03,1.6800000000e-06
69.0000,20000.0,1.3800000000e-04,1.6900000000e-03,1.6900000000e-06
70.0000,20000.0,1.4000000000e-04,1.7000000000e-03,1.7000000000e-06
2.0000,0.0,1.0040000000e-03,1.0200000000e-03,1.0200000000e-06
3.0000,0.0,1.0060000000e-03,1.0300000000e-03,1.0300000000e-06
4.0000,0.0,1.0080000000e-03,1.0400000000e-03,1.0400000000e-06
5.0000,0.0,1.0100000000e-03,1.0500000000e-03,1.0500000000e-06
6.0000,0.0,1.0120000000e-03,1.0600000000e-03,1.0600000000e-06
7.0000,0.0,1.0140000000e-03,1.0700000000e-03,1.0700000000e-06
8.0000,0.0,1.0160000000e-03,1.0800000000e-03,1.0800000000e-06
9.0000,0.0,1.0180000000e-03,1.0900000000e-03,1.0900000000e-06
10.0000,0.0,1.0200000000e-03,1.1000000000e-03,1.1000000000e-06
11.0000,0.0,1.0220000000e-03,1.1100000000e-03,1.1100000000e-06
12.0000,0.0,1.0240000000e-03,1.1200000000e-03,1.1200000000e-06
13.0000,0.0,1.0260000000e-03,1.1300000000e-03,1.1300000000e-06
14.0000,0.0,1.0280000000e-03,1.1400000000e-03,1.1400000000e-06
15.0000,0.0,1.0300000000e-03,1.1500000000e-03,1.1500000000e-06
16.0000,0.0,1.0320000000e-03,1.1600000000e-03,1.1600000000e-06
17.0000,0.0,1.0340000000e-03,1.1700000000e-03,1.1700000000e-06
18.0000,0.0,1.0360000000e-03,1.1800000000e-03,1.1800000000e-06
19.0000,0.0,1.0380000000e-03,1.1900000000e-03,1.1900000000e-06
20.0000,0.0,1.0400000000e-03,1.2000000000e-03,1.2000000000e-06
21.0000,0.0,1.0420000000e-03,1.2100000000e-03,1.2100000000e-06
22.0000,0.0,1.0440000000e-03,1.2200000000e-03,1.2200000000e-06
23.0000,0.0,1.0460000000e-03,1.2300000000e-03,1.2300000000e-06
24.0000,0.0,1.0480000000e-03,1.2400000000e-03,1.2400000000e-06
25.0000,0.0,1.0500000000e-03,1.2500000000e-03,1.2500000000e-06
26.0000,0.0,1.0520000000e-03,1.2600000000e-03,1.2600000000e-06
27.0000,0.0,1.0540000000e-03,1.2700000000e-03,1.2700000000e-06
28.0000,0.0,1.0560000000e-03,1.2800000000e-03,1.2800000000e-06
29.0000,0.0,1.0580000000e-03,1.2900000000e-03,1.2900000000e-06
30.0000,0.0,1.0600000000e-03,1.3000000000e-03,1.3000000000e-06
31.0000,0.0,1.0620000000e-03,1.3100000000e-03,1.3100000000e-06
32.0000,0.0,1.0640000000e-03,1.3200000000e-03,1.3200000000e-06
33.0000,0.0,1.0660000000e-03,1.3300000000e-03,1.3300000000e-06
34.0000,0.0,1.0680000000e-03,1.3400000000e-03,1.3400000000e-06
35.0000,0.0,1.0700000000e-03,1.3500000000e-03,1.3500000000e-06
36.0000,0.0,1.0720000000e-03,1.3600000000e-03,1.3600000000e-06
37.0000,0.0,1.0740000000e-03,1.3700000000e-03,1.3700000000e-06
38.0000,0.0,1.0760000000e-03,1.3800000000e-03,1.3800000000e-06
39.0000,0.0,1.0780000000e-03,1.3900000000e-03,1.3900000000e-06
40.0000,0.0,1.0800000000e-03,1.4000000000e-03,1.4000000000e-06
41.0000,0.0,1.0820000000e-03,1.4100000000e-03,1.4100000000e-06
42.0000,0.0,1.0840000000e-03,1.4200000000e-03,1.4200000000e-06
43.0000,0.0,1.0860000000e-03,1.4300000000e-03,1.4300000000e-06
44.0000,0.0,1.0880000000e-03,1.4400000000e-03,1.4400000000e-06
45.0000,0.0,1.0900000000e-03,1.4500000000e-03,1.4500000000e-06
46.0000,0.0,1.0920000000e-03,1.4600000000e-03,1.4600000000e-06
47.0000,0.0,1.0940000000e-03,1.4700000000e-03,1.4700000000e-06
48.0000,0.0,1.0960000000e-03,1.4800000000e-03,1.4800000000e-06
49.0000,0.0,1.0980000000e-03,1.4900000000e-03,1.4900000000e-06
50.0000,0.0,1.1000000000e-03,1.5000000000e-03,1.5000000000e-06
51.0000,0.0,1.1020000000e-03,1.5100000000e-03,1.5100000000e-06
52.0000,0.0,1.1040000000e-03,1.5200000000e-03,1.5200000000e-06
53.0000,0.0,1.1060000000e-03,1.5300000000e-03,1.5300000000e-06
54.0000,0.0,1.1080000000e-03,1.5400000000e-03,1.5400000000e-06
55.0000,0.0,1.1100000000e-03,1.5500000000e-03,1.5500000000e-06
56.0000,0.0,1.1120000000e-03,1.5600000000e-03,1.5600000000e-06
57.0000,0.0,1.1140000000e-03,1.5700000000e-03,1.5700000000e-06
58.0000,0.0,1.1160000000e-03,1.5800000000e-03,1.5800000000e-06
59.0000,0.0,1.1180000000e-03,1.5900000000e-03,1.5900000000e-06
60.0000,0.0,1.1200000000e-03,1.6000000000e-03,1.6000000000e-06
61.0000,0.0,1.1220000000e-03,1.6100000000e-03,1.6100000000e-06
62.0000,0.0,1.1240000000e-03,1.6200000000e-03,1.6200000000e-06
63.0000,0.0,1.1260000000e-03,1.6300000000e-03,1.6300000000e-06
64.0000,0.0,1.1280000000e-03,1.6400000000e-03,1.6400000000e-06
65.0000,0.0,1.1300000000e-03,1.6500000000e-03,1.6500000000e-06
66.0000,0.0,1.1320000000e-03,1.6600000000e-03,1.6600000000e-06
67.0000,0.0,1.1340000000e-03,1.6700000000e-03,1.6700000000e-06
68.0000,0.0,1.1360000000e-03,1.6800000000e-03,1.6800000000e-06
69.0000,0.0,1.1380000000e-03,1.6900000000e-03,1.6900000000e-06
70.0000,0.0,1.1400000000e-03,1.7000000000e-03,1.7000000000e-06
